IndexId,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,TS1,TS2
15,851.45,526.71,24.95,212.94,0,0,0,20:04:03,1.54319E+12
16,953.01,527.87,24.47,259.68,0,0,0,20:04:03,1.54319E+12
17,884.35,530.7,25.11,249.58,0,0,0,20:04:03,1.54319E+12
18,826.48,530.55,22.59,211.28,0,0,0,20:04:03,1.54319E+12
19,937.36,531.51,26.66,250.75,0,0,0,20:04:03,1.54319E+12
20,925.48,530.11,24.42,263.06,0,0,0,20:04:03,1.54319E+12
21,823.01,532.24,23.62,216.84,0,0,0,20:04:03,1.54319E+12
22,895.93,529.29,25.46,229.84,0,0,0,20:04:03,1.54319E+12
23,942.81,527.37,23.43,263.5,0,0,0,20:04:03,1.54319E+12
24,839.28,525.85,21.84,226.83,0,0,0,20:04:03,1.54319E+12
25,852.43,526.51,24.2,212.69,0,0,0,20:04:03,1.54319E+12
26,951.39,526.57,26.84,258.72,0,0,0,20:04:03,1.54319E+12
27,876.68,525.33,24,241.49,0,0,0,20:04:03,1.54319E+12
28,821.04,523.67,21.58,202.61,0,0,0,20:04:03,1.54319E+12
29,929.8,523.49,25.49,249.05,0,0,0,20:04:03,1.54319E+12
30,919.72,518.83,25.08,259.49,0,0,0,20:04:03,1.54319E+12
31,819.02,525.29,22.86,214.94,0,0,0,20:04:03,1.54319E+12
32,892.98,519.21,25.38,228.1,0,0,0,20:04:03,1.54319E+12
33,945.63,526.51,27.99,262.63,0,0,0,20:04:03,1.54319E+12
34,835.61,530.79,21.4,232.47,0,0,0,20:04:03,1.54319E+12
35,848.87,527.12,22.35,219.73,0,0,0,20:04:03,1.54319E+12
36,949.59,524.52,25.15,261.85,0,0,0,20:04:03,1.54319E+12
37,875.1,524.32,24.53,247.19,0,0,0,20:04:03,1.54319E+12
38,819.92,526.27,21.73,208.3,0,0,0,20:04:03,1.54319E+12
39,927.75,527.49,25.1,252.31,0,0,0,20:04:03,1.54319E+12
40,910.94,526.97,25.37,260.89,0,0,0,20:04:03,1.54319E+12
41,812.27,525.67,22.54,214.47,0,0,0,20:04:03,1.54319E+12
42,887.32,526.26,25.78,231.68,0,0,0,20:04:03,1.54319E+12
43,942.37,523.4,27.32,266.74,0,0,0,20:04:03,1.54319E+12
44,830.92,524.57,21.93,229,0,0,0,20:04:03,1.54319E+12
45,839.97,525.34,25.02,212.62,0,0,0,20:04:03,1.54319E+12
46,939.45,518.67,25.6,258.89,0,0,0,20:04:03,1.54319E+12
47,865.13,521.44,25.97,237.76,0,0,0,20:04:03,1.54319E+12
48,810.38,518.74,23.76,208.18,0,0,0,20:04:03,1.54319E+12
49,930.02,524.46,28.56,249.52,0,0,0,20:04:04,1.54319E+12
50,915.18,524.29,24.97,263.04,0,0,0,20:04:04,1.54319E+12
51,811.81,526.75,19.73,217.77,0,0,0,20:04:04,1.54319E+12
52,890.51,524.92,26.46,232.72,0,0,0,20:04:04,1.54319E+12
53,935.3,522.54,28.44,265.84,0,0,0,20:04:04,1.54319E+12
54,833.38,523.75,23.94,231.61,0,0,0,20:04:04,1.54319E+12
55,845.22,517.45,20.77,214.4,0,0,0,20:04:04,1.54319E+12
56,943.98,527.68,25.08,260.86,0,0,0,20:04:04,1.54319E+12
57,876.93,525.21,22.08,247,0,0,0,20:04:04,1.54319E+12
58,817.61,525.95,20.98,207.75,0,0,0,20:04:04,1.54319E+12
59,931.79,523.51,24.88,249.94,0,0,0,20:04:04,1.54319E+12
60,914.59,521.12,25.67,258.66,0,0,0,20:04:04,1.54319E+12
61,813.57,523.59,19.99,213.24,0,0,0,20:04:04,1.54319E+12
62,893.49,520.76,24.71,230.17,0,0,0,20:04:04,1.54319E+12
63,942.86,520.99,28.05,265.52,0,0,0,20:04:04,1.54319E+12
64,839.37,527.73,23.12,229.61,0,0,0,20:04:04,1.54319E+12
65,857.27,519.55,23.29,211.85,0,0,0,20:04:04,1.54319E+12
66,946.37,518.63,24.87,259.13,0,0,0,20:04:04,1.54319E+12
67,874.49,520.76,21.71,243.51,0,0,0,20:04:04,1.54319E+12
68,813.82,518.82,24.61,204.15,0,0,0,20:04:04,1.54319E+12
69,932.52,521.53,28.56,243.04,0,0,0,20:04:04,1.54319E+12
70,916.63,519.25,24.2,256.67,0,0,0,20:04:04,1.54319E+12
71,816.28,520.86,21.31,208.32,0,0,0,20:04:04,1.54319E+12
72,895.32,520.71,27.05,227.53,0,0,0,20:04:04,1.54319E+12
73,944.3,521.72,26.51,265.48,0,0,0,20:04:04,1.54319E+12
74,835.42,525.01,23.78,226.54,0,0,0,20:04:04,1.54319E+12
75,855.5,523.63,23.56,216.52,0,0,0,20:04:04,1.54319E+12
76,953.32,524.43,25.9,258.81,0,0,0,20:04:04,1.54319E+12
77,875.99,522.32,24.18,243.38,0,0,0,20:04:04,1.54319E+12
78,821.1,518.13,20.63,206.57,0,0,0,20:04:04,1.54319E+12
79,933.82,516.67,25.08,248.75,0,0,0,20:04:04,1.54319E+12
80,915.04,519.73,24.24,256.66,0,0,0,20:04:04,1.54319E+12
81,809.36,519.23,20.67,210.79,0,0,0,20:04:04,1.54319E+12
82,886.91,518.64,23.98,223.77,0,0,0,20:04:04,1.54319E+12
83,937.23,516.79,26.36,259.18,0,0,0,20:04:04,1.54319E+12
84,832.2,516.93,19.82,219.01,0,0,0,20:04:04,1.54319E+12
