"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-25","0.67",,,"62","47","  270","  280","6.0","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-26","2.24",,,"63","49","  270","  280","10.1","17.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-27","4.70",,,"63","48","  350","  290","10.1","17.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-28","0.89",,,"64","43","  280","  280","6.0","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-29","2.46",,,"53","43","   90","  100","8.9","15.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-30","1.12",,,"59","39","  350","  360","8.9","16.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2012-12-31","0.89",,,"60","39","  270","  290","6.0","14.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-01","0.67",,,"61","43","  100","  100","6.9","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-02","0.22",,,"65","40","  280","  290","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-03","0.00",,,"71","39","  270","  250","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-04","1.12",,,"68","43","  130","  270","6.9","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-05","0.22",,,"67","41","  280","  270","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-06","1.12",,,"59","46","  270","  260","10.1","21.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-07","1.57",,,"69","44","  270","  290","10.1","17.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-08","0.45",,,"73","43","  270","  280","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-09","0.22",,,"69","46","  270","  270","6.9","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-10","3.80",,,"59","45","  340","  340","12.1","21.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2013-01-11","5.37",,,"56","44","  350","  360","12.1","21.9"
