,cds,county_code,district_code,school_code
463,19768690119636,19,76869,0119636
464,19768690131128,19,76869,0131128
465,20652012032357,20,65201,2032357
466,20652430110965,20,65243,0110965
467,20652430118950,20,65243,0118950
468,20652432035707,20,65243,2035707
469,20755802030203,20,75580,2030203
470,20756060100180,20,75606,0100180
471,20756060117010,20,75606,0117010
472,20756060125021,20,75606,0125021
473,20764142030013,20,76414,2030013
474,20764142030237,20,76414,2030237
475,21654172132272,21,65417,2132272
476,21654172133056,21,65417,2133056
477,21654662133262,21,65466,2133262
478,21654662134005,21,65466,2134005
479,21654822131340,21,65482,2131340
480,21654822132587,21,65482,2132587
481,21654822133692,21,65482,2133692
482,21733612134310,21,73361,2134310
483,22655322230076,22,65532,2230076
484,22655322235356,22,65532,2235356
485,23655652331361,23,65565,2331361
486,23655812333185,23,65581,2333185
487,23655992333649,23,65599,2333649
488,23656072334563,23,65607,2334563
489,23656152335024,23,65615,2335024
490,23656232335487,23,65623,2335487
491,23738662330041,23,73866,2330041
492,23739162332260,23,73916,2332260
493,23752182332724,23,75218,2332724
494,24656982432409,24,65698,2432409
495,24657302433001,24,65730,2433001
496,24657550120923,24,65755,0120923
497,24657552434207,24,65755,2434207
498,24657890127373,24,65789,0127373
499,24657892430098,24,65789,2430098
500,24657892430205,24,65789,2430205
501,24657892430601,24,65789,2430601
502,24657892433605,24,65789,2433605
503,24657892435204,24,65789,2435204
504,24736192431807,24,73619,2431807
505,24753172431203,24,75317,2431203
506,24753662430114,24,75366,2430114
507,25735852535409,25,73585,2535409
508,26736682633006,26,73668,2633006
509,26736682635001,26,73668,2635001
510,26736922630010,26,73692,2630010
511,27102720125765,27,10272,0125765
512,27659872730414,27,65987,2730414
513,27660680134254,27,66068,0134254
514,27660682730174,27,66068,2730174
515,27660682732170,27,66068,2732170
516,27660920111435,27,66092,0111435
517,27660922732808,27,66092,2732808
518,27660922735348,27,66092,2735348
519,27661342733657,27,66134,2733657
520,27661592730109,27,66159,2730109
521,27661592730166,27,66159,2730166
522,27661592733178,27,66159,2733178
523,27661592734556,27,66159,2734556
524,27738252730034,27,73825,2730034
525,27754402730190,27,75440,2730190
526,27754732730885,27,75473,2730885
527,28662660121087,28,66266,0121087
528,28662662830016,28,66266,2830016
529,28662662835601,28,66266,2835601
530,28662902837102,28,66290,2837102
531,29102980114314,29,10298,0114314
532,29663570124834,29,66357,0124834
533,29663572930048,29,66357,2930048
534,29663572935500,29,66357,2935500
535,30103060126037,30,10306,0126037
536,30664313030038,30,66431,3030038
537,30664313030228,30,66431,3030228
538,30664313033057,30,66431,3033057
539,30664313033115,30,66431,3033115
540,30664313033784,30,66431,3033784
541,30664313034204,30,66431,3034204
542,30664313036712,30,66431,3036712
543,30664313038239,30,66431,3038239
544,30664493030640,30,66449,3030640
545,30664640113381,30,66464,0113381
546,30664643030210,30,66464,3030210
547,30664643030574,30,66464,3030574
548,30664643030756,30,66464,3030756
549,30664643036001,30,66464,3036001
550,30664643038569,30,66464,3038569
551,30665143030855,30,66514,3030855
552,30665143032505,30,66514,3032505
553,30665143033362,30,66514,3033362
554,30665143037090,30,66514,3037090
555,30665143037348,30,66514,3037348
556,30665143037496,30,66514,3037496
557,30665223030434,30,66522,3030434
558,30665223032752,30,66522,3032752
559,30665223033578,30,66522,3033578
560,30665223033933,30,66522,3033933
561,30665223035581,30,66522,3035581
562,30665223035706,30,66522,3035706
563,30665223036555,30,66522,3036555
564,30665483030145,30,66548,3030145
565,30665483031895,30,66548,3031895
566,30665483032158,30,66548,3032158
567,30665483032943,30,66548,3032943
568,30665483034410,30,66548,3034410
569,30665483038445,30,66548,3038445
570,30665553033206,30,66555,3033206
571,30665973032000,30,66597,3032000
572,30665973035045,30,66597,3035045
573,30666213030046,30,66621,3030046
574,30666213031952,30,66621,3031952
575,30666213035409,30,66621,3035409
576,30666213038098,30,66621,3038098
577,30666470119404,30,66647,0119404
578,30666473030053,30,66647,3030053
579,30666473031929,30,66647,3031929
580,30666473038023,30,66647,3038023
581,30666700106567,30,66670,0106567
582,30666700108365,30,66670,0108365
583,30666700114736,30,66670,0114736
584,30666703030491,30,66670,3030491
585,30666703036357,30,66670,3036357
586,30666703036456,30,66670,3036456
587,30736353030061,30,73635,3030061
588,30736353030244,30,73635,3030244
589,30736353030392,30,73635,3030392
590,30736353034956,30,73635,3034956
591,30736430102871,30,73643,0102871
592,30736433032109,30,73643,3032109
593,30736433037553,30,73643,3037553
594,30736503030152,30,73650,3030152
595,30736503030285,30,73650,3030285
596,30736503030657,30,73650,3030657
597,30736503035102,30,73650,3035102
598,30739243033917,30,73924,3033917
599,31668940102293,31,66894,0102293
600,31668943131851,31,66894,3131851
601,31668943132453,31,66894,3132453
602,31668943135704,31,66894,3135704
603,31669280116459,31,66928,0116459
604,31669283130176,31,66928,3130176
605,31669283130184,31,66928,3130184
606,31669283135308,31,66928,3135308
607,31669283136504,31,66928,3136504
608,31669443130010,31,66944,3130010
609,31669443138500,31,66944,3138500
610,31669513134657,31,66951,3134657
611,31750850108084,31,75085,0108084
612,31750853130150,31,75085,3130150
613,33103300134320,33,10330,0134320
614,33669770125732,33,66977,0125732
615,33669773330008,33,66977,3330008
616,33669773334299,33,66977,3334299
617,33669853330214,33,66985,3330214
618,33669933330479,33,66993,3330479
619,33670330110627,33,67033,0110627
620,33670333330446,33,67033,3330446
621,33670333330701,33,67033,3330701
622,33670333331600,33,67033,3331600
623,33670333334232,33,67033,3334232
624,33670580118885,33,67058,0118885
625,33670583330388,33,67058,3330388
626,33670583330669,33,67058,3330669
627,33670583333192,33,67058,3333192
628,33670820106716,33,67082,0106716
629,33670820113159,33,67082,0113159
630,33670823330537,33,67082,3330537
631,33670823332673,33,67082,3332673
632,33670900114157,33,67090,0114157
633,33670903330412,33,67090,3330412
634,33670903337136,33,67090,3337136
635,33671243330396,33,67124,3330396
636,33671243330438,33,67124,3330438
637,33671243331071,33,67124,3331071
638,33671243333770,33,67124,3333770
639,33671573331014,33,67157,3331014
640,33671730127316,33,67173,0127316
641,33671733330578,33,67173,3330578
642,33671733330818,33,67173,3330818
643,33671733335130,33,67173,3335130
644,33671813335759,33,67181,3335759
645,33672070113191,33,67207,0113191
646,33672073330727,33,67207,3330727
647,33672073335973,33,67207,3335973
648,33672153330024,33,67215,3330024
649,33672153330859,33,67215,3330859
